Time stamp,Error Wheel,Output wheel,Error Velocity / Brake,Output velocity,Center Point - Lane x,Center Point - Lane Y,GPS,Ego Velocity,P,I,D
1661955619:691764865,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(0.0, 0.0)",-0.0,0.0,-0.0
1661955619:726525362,-0.025954489218188506,-0.0014934052126102104,30.0,-1.0,"[5.0, 6.0, 7.0, 7.999999761581421, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 24.0, 25.0, 26.0]","[0.3870053291320801, 0.47029685974121094, 0.6196028590202332, 0.8223185539245605, 1.0658392906188965, 1.3375604152679443, 1.6248772144317627, 1.9151848554611206, 2.1958786249160767, 2.4543538093566895, 2.678005814552307, 2.8542299270629883, 2.970421075820923, 3.013975143432617, 2.9722870588302612, 2.832751750946045, 2.5827653408050537, 2.2097222805023193, 1.7010184526443481, 1.0440490245819092, 1.044045865535736, 0.22620528936386108, -0.7651104927062988]","(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0001956807517007851
1661955619:921599922,-0.025954489218188503,-0.0014788247571049654,30.0,-1.0,[],[],"(0.0, 0.0)","(1.3878694456994207e-16, -3.602953318566896e-18)",-0.0012977244609094253,0.0,-0.0001811002961955401
1661955620:113719656,-0.025954489218188506,-0.001476991406501288,30.0,-1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00017926694559186262
1661955620:479587381,-0.025954489218188506,-0.0015094545356848896,30.0,-1.0,"[5.0, 6.0, 7.0, 8.000000238418579, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0]","[0.39287734031677246, 0.4731327295303345, 0.6178267598152161, 0.8148620128631592, 1.0521409511566162, 1.3175662159919739, 1.5990406274795532, 1.8844662308692932, 2.161746382713318, 2.4187828302383423, 2.6434792280197144, 2.8237370252609253, 2.9474599361419678, 3.0025497674942017, 2.9769092798233032, 2.858441472053528, 2.6350481510162354, 2.29463267326355, 1.8250975012779236, 1.2143449783325195]","(0.0, 0.0)","(1.3878793732347976e-16, -3.60297909076517e-18)",-0.0012977244609094253,0.0,-0.0002117300747754642
1661955620:590862252,-0.025954489218188503,-0.0015233260847157175,30.0,-1.0,"[5.0, 6.0, 7.0, 8.000000238418579, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0]","[0.39529120922088623, 0.47602999210357666, 0.6220228672027588, 0.821030855178833, 1.0608150362968445, 1.3291363716125488, 1.6137559413909912, 1.9024347066879272, 2.182934045791626, 2.443014621734619, 2.670437812805176, 2.852964401245117, 2.9783557653427124, 3.034372329711914, 3.00877583026886, 2.889326810836792, 2.663786768913269, 2.3199163675308228, 1.8454768657684326, 1.228229284286499]","(0.0, 0.0)","(1.3878859916706185e-16, -3.602996272435519e-18)",-0.0012977244609094253,0.0,-0.00022560162380629218
1661955620:770589767,-0.025954489218188506,-0.0015228788429522695,30.0,-1.0,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.000000476837158, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 24.0, 25.0, 26.0]","[0.3980220556259155, 0.4687783718109131, 0.6000680923461914, 0.7809926867485046, 1.0006538033485413, 1.2481533885002136, 1.5125926733016968, 1.7830740809440613, 2.0486984252929688, 2.298567771911621, 2.5217838287353516, 2.7074482440948486, 2.844662666320801, 2.9225285053253174, 2.930147886276245, 2.8566222190856934, 2.6910531520843506, 2.422542452812195, 2.040191888809204, 1.5331029295921326, 1.533102035522461, 0.8903758525848389, 0.10111474990844727]","(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00022515438204284414
1661955621:13618303,-0.025954489218188506,-0.0015209457771478859,30.0,1.0,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 15.999999523162842, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 24.0, 25.0, 26.0]","[0.398493230342865, 0.48053479194641113, 0.6204836964607239, 0.8077384829521179, 1.0316970348358154, 1.281757652759552, 1.547318696975708, 1.8177782893180847, 2.082534670829773, 2.3309857845306396, 2.552530288696289, 2.7365660667419434, 2.872491717338562, 2.949705123901367, 2.95760440826416, 2.8855881690979004, 2.7230544090270996, 2.4594013690948486, 2.0840271711349487, 1.586329996585846, 1.5863306522369385, 0.9557087421417236, 0.18156051635742188]","(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00022322131623846056
1661955621:184505752,-0.025954489218188506,-0.0015265630161368743,30.0,-1.0,"[5.0, 6.0, 7.0, 7.999999761581421, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 24.0, 25.0, 26.0]","[0.3872338533401489, 0.47770899534225464, 0.6291804313659668, 0.830265998840332, 1.0695833563804626, 1.3357500433921814, 1.6173840761184692, 1.903102695941925, 2.181524157524109, 2.4412659406661987, 2.670945405960083, 2.8591806888580322, 2.994589328765869, 3.0657891035079956, 3.061397671699524, 2.9700323343276978, 2.780311346054077, 2.480852246284485, 2.060272693634033, 1.507190465927124, 1.5071909427642822, 0.8102233409881592, -0.04201173782348633]","(0.0, 0.0)","(1.3878793732347976e-16, -3.60297909076517e-18)",-0.0012977244609094253,0.0,-0.00022883855522744888
1661955621:514738208,-0.025954489218188506,-0.001527278879296813,30.0,-1.0,"[5.0, 6.0, 7.0, 8.000000238418579, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.000000476837158, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 23.0, 24.0, 25.0, 26.0]","[0.3867310881614685, 0.46835607290267944, 0.615027666091919, 0.8148514628410339, 1.0559328198432922, 1.326377809047699, 1.614291489124298, 1.9077798128128052, 2.1949480772018433, 2.4639017581939697, 2.7027469873428345, 2.899588465690613, 3.0425329208374023, 3.119684934616089, 3.1191505193710327, 3.0290348529815674, 2.8374439477920532, 2.5324831008911133, 2.1022582054138184, 2.1022541522979736, 1.534870207309723, 0.8184334635734558, -0.05895090103149414]","(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00022955441838738776
