Time stamp,Error Wheel,Output wheel,Error Velocity / Brake,Output velocity,Center Point - Lane x,Center Point - Lane Y,GPS,Ego Velocity,P,I,D
1661951412:43205037,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(0.0, 0.0)",-0.0,0.0,-0.0
1661951412:145640206,-0.025954489218188506,-0.001492194492950064,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0001944700320406388
1661951412:247061054,-0.025954489218188503,-0.0015227722525133253,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878694456994207e-16, -3.602953318566896e-18)",-0.0012977244609094253,0.0,-0.0002250477916039
1661951412:345512281,-0.025954489218188506,-0.0015364495282233109,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002387250673138855
1661951412:449721900,-0.025954489218188506,-0.0015538556779820252,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00025613121707259985
1661951412:648710259,-0.025954489218188506,-0.0015653938776306283,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00026766941672120307
1661951412:846516496,-0.025954489218188506,-0.0015634848050954044,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00026576034418597906
1661951413:59999777,-0.025954489218188506,-0.0015521079977464504,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002543835368370251
1661951413:248019078,-0.025954489218188506,-0.001536974975890585,30.0,1.0,[],[],"(0.0, 0.0)","(1.3879488699593306e-16, -3.603159506477225e-18)",-0.0012977244609094253,0.0,-0.00023925051498115954
1661951413:445674294,-0.025954489218188506,-0.0015647317748345995,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002670073139251742
1661951413:646657875,-0.025954489218188506,-0.0015373304286529549,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00023960596774352965
1661951413:942611648,-0.025954489218188506,-0.0015323131919759902,30.0,1.0,[],[],"(0.0, 0.0)","(1.3879422509237999e-16, -3.603142323250009e-18)",-0.0012977244609094253,0.0,-0.0002345887310665648
1661951414:145074949,-0.025954489218188506,-0.0015247050343934485,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00022698057348402315
1661951414:343708909,-0.025954489218188506,-0.001520970496710907,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00022324603580148173
1661951414:559046248,-0.025954489218188506,-0.0015360643250920143,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002383398641825889
1661951414:848296695,-0.025954489218188506,-0.0015348009469700527,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00023707648606062734
1661951415:45450044,-0.025954489218188506,-0.0015409311532663477,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002432066923569223
1661951415:262235366,-0.025954489218188506,-0.0015594548997012471,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00026173043879182194
1661951415:449338875,-0.025954489218188506,-0.001551822098159158,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002540976372497326
1661951415:645680834,-0.025954489218188506,-0.0015564504220220005,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00025872596111257523
1661951415:843091526,-0.025954489218188506,-0.0015571854704902895,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002594610095808643
1661951416:44728702,-0.025954489218188506,-0.001552388881669797,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002546644207603717
1661951416:153959450,-0.025954489218188503,-0.001562760135326649,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878694456994207e-16, -3.602953318566896e-18)",-0.0012977244609094253,0.0,-0.0002650356744172238
1661951416:444966037,-0.025954489218188506,-0.0015510875956980157,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002533631347885905
1661951416:646061740,-0.025954489218188506,-0.0015560580939106212,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002583336330011958
1661951416:843703396,-0.025954489218188506,-0.0015616968319605278,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00026397237105110245
1661951417:47809511,-0.025954489218188506,-0.001558682555894323,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00026095809498489765
1661951417:246156694,-0.025954489218188506,-0.0015561976360700315,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002584731751606062
1661951417:457982559,-0.025954489218188506,-0.001558526884307647,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002608024233982217
1661951417:643744233,-0.025954489218188506,-0.0015596542148883334,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.000261929753978908
