Time stamp,Error Wheel,Output wheel,Error Velocity / Brake,Output velocity,Center Point - Lane x,Center Point - Lane Y,GPS,Ego Velocity,P,I,D
1661939216:117584968,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(0.0, 0.0)",-0.0,0.0,-0.0
1661939216:214034635,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(9.347315526726575e-05, 0.004401465377392132)",-0.0,0.0,-0.0
1661939216:333250656,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(-0.0014583340770886822, -0.00321428041503951)",-0.0,0.0,-0.0
1661939216:410321163,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(-0.005244585175778186, 0.0021103818154536757)",-0.0,0.0,-0.0
1661939216:508675210,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(-0.00472506509748566, 0.011333156589531278)",-0.0,0.0,-0.0
1661939216:612723924,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(-0.0039709185763419875, -0.0034302783783435025)",-0.0,0.0,-0.0
1661939216:830016006,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(-0.009508364269409262, 0.010197086640192525)",-0.0,0.0,-0.0
1661939217:8486988,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(0.005767137375958584, -0.0010649682043256095)",-0.0,0.0,-0.0
1661939217:212463847,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(0.0020644055177585436, 0.0008290918548981182)",-0.0,0.0,-0.0
1661939217:410826177,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(0.01439983273703073, 0.008261449845856748)",-0.0,0.0,-0.0
1661939217:607790393,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(-0.004393160649991637, -0.0005337010453029538)",-0.0,0.0,-0.0
1661939217:813727699,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(-0.0035217690810738916, 0.010409090820421745)",-0.0,0.0,-0.0
1661939218:25079706,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(0.01819001415958554, 0.004385406792341627)",-0.0,0.0,-0.0
