Time stamp,Error Wheel,Output wheel,Error Velocity / Brake,Output velocity,Center Point - Lane x,Center Point - Lane Y,GPS,Ego Velocity,P,I,D
1661949161:967312395,-0.0,0.0,30.0,1.0,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 15.999999523162842, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0]","[2.385293483734131, 2.458452820777893, 2.525519013404846, 2.5862962007522583, 2.640589952468872, 2.688206195831299, 2.728949785232544, 2.76262629032135, 2.7890411615371704, 2.807999610900879, 2.819306969642639, 2.822768807411194, 2.8181899785995483, 2.805376410484314, 2.7841333150863647, 2.7542662620544434, 2.7155799865722656, 2.667880654335022, 2.61097252368927, 2.544662117958069, 2.468754231929779, 2.383054494857788, 2.2873677611351013, 2.181500017642975, 2.0652562975883484, 1.9384418725967407, 1.8008622527122498]","(0.0, 0.0)","(0.0, 0.0)",-0.0,0.0,-0.0
1661949162:106951224,0.06241880999595735,0.0033638438940368134,29.999999999999996,1.0,[],[],"(0.0, 0.0)","(4.441213994351352e-15, 2.775758746469595e-16)",0.0031209404997978676,0.0,0.00024290339423894578
1661949162:359104297,0.06241880999595735,0.003621609288142429,29.999999999999996,1.0,[],[],"(0.0, 0.0)","(4.441139869460827e-15, 2.775712418413017e-16)",0.0031209404997978676,0.0,0.0005006687883445617
1661949162:682980713,0.06241880999595735,0.003705464144875886,29.999999999999996,1.0,[],[],"(0.0, 0.0)","(4.441192815558717e-15, 2.7757455097241983e-16)",0.0031209404997978676,0.0,0.0005845236450780185
1661949162:902017384,0.06241880999595735,0.003697297335339734,29.999999999999996,1.0,[],[],"(0.0, 0.0)","(4.4411081024080425e-15, 2.7756925640050266e-16)",0.0031209404997978676,0.0,0.000576356835541866
1661949163:79450713,0.06241880999595735,0.003756543931334315,29.999999999999996,1.0,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.000000476837158, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 31.999999046325684]","[2.524625539779663, 2.559736132621765, 2.5905808210372925, 2.617838144302368, 2.6421849727630615, 2.6642990112304688, 2.6848580837249756, 2.704539656639099, 2.7240211963653564, 2.743980646133423, 2.7650954127311707, 2.788043260574341, 2.8135019540786743, 2.8421483635902405, 2.8746609687805176, 2.911716938018799, 2.953993797302246, 3.002169609069824, 3.0569215416908264, 3.118927538394928, 3.188865065574646, 3.2674114108085632, 3.3552448749542236, 3.453042507171631, 3.5614821910858154, 3.681241512298584, 3.812998056411743]","(0.0, 0.0)","(4.441192815558717e-15, 2.7757455097241983e-16)",0.0031209404997978676,0.0,0.0006356034315364475
1661949163:282906903,0.06241880999595735,0.0037293485610777476,29.999999999999996,1.0,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.000000476837158, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.000000953674316]","[2.5373958349227905, 2.590898275375366, 2.63179349899292, 2.6617228984832764, 2.682328224182129, 2.6952508687973022, 2.702132225036621, 2.704614043235779, 2.7043380737304688, 2.7029454708099365, 2.7020779848098755, 2.703377366065979, 2.7084845304489136, 2.719041585922241, 2.736690044403076, 2.763071298599243, 2.799826741218567, 2.8485982418060303, 2.9110270738601685, 2.988755226135254, 3.0834238529205322, 3.1966745853424072, 3.330148935317993, 3.4854884147644043, 3.664334774017334, 3.868329644203186, 4.099113941192627]","(0.0, 0.0)","(4.441192815558717e-15, 2.7757455097241983e-16)",0.0031209404997978676,0.0,0.00060840806127988
1661949163:501338707,0.06241880999595735,0.003734058341785776,29.999999999999996,1.0,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.000000476837158, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0]","[2.35904061794281, 2.463963270187378, 2.5471324920654297, 2.609716534614563, 2.652883529663086, 2.6778018474578857, 2.6856404542922974, 2.6775670051574707, 2.654750108718872, 2.6183582544326782, 2.569559693336487, 2.5095229148864746, 2.439415991306305, 2.3604076504707336, 2.2736659049987793, 2.1803593039512634, 2.0816562175750732, 1.9787249565124512, 1.8727341294288635, 1.7648515701293945]","(0.0, 0.0)","(4.441203404929786e-15, 2.775752128081116e-16)",0.0031209404997978676,0.0,0.0006131178419879086
1661949163:718047472,0.06241880999595735,0.0036701441638509577,29.999999999999996,1.0,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0]","[2.3282636404037476, 2.459466576576233, 2.562562584877014, 2.6392550468444824, 2.691247820854187, 2.7202439308166504, 2.72794771194458, 2.7160621881484985, 2.6862915754318237, 2.640338897705078, 2.579908013343811, 2.5067025423049927, 2.422426462173462, 2.3287826776504517, 2.2274749875068665, 2.1202073097229004, 2.0086830258369446, 1.894605576992035, 1.7796788811683655, 1.6656064987182617]","(0.0, 0.0)","(4.441213994351352e-15, 2.775758746469595e-16)",0.0031209404997978676,0.0,0.0005492036640530901
1661949163:863457734,0.06241880999595735,0.003740126166575576,29.999999999999996,1.0,[],[],"(0.0, 0.0)","(4.441139869460827e-15, 2.775712418413017e-16)",0.0031209404997978676,0.0,0.0006191856667777085
