Time stamp,Error Wheel,Output wheel,Error Velocity / Brake,Output velocity,Center Point - Lane x,Center Point - Lane Y,GPS,Ego Velocity,P,I,D
1661951725:442954678,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(0.0, 0.0)",-0.0,0.0,-0.0
1661951725:539938950,-0.025954489218188506,-0.0014851475007563427,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00018742303984691736
1661951725:634539378,-0.025954489218188506,-0.001519815471154578,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002220910102451525
1661951725:741581764,-0.025954489218188506,-0.0015353601280737373,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00023763566716431203
1661951725:941717162,-0.025954489218188506,-0.0015670710872935807,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002693466263841554
1661951726:41460281,-0.025954489218188506,-0.0015610895019725647,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002633650410631394
1661951726:241937867,-0.025954489218188503,-0.0015576612751869647,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878694456994207e-16, -3.602953318566896e-18)",-0.0012977244609094253,0.0,-0.00025993681427753933
1661951726:442960473,-0.025954489218188503,-0.0015709843916432364,30.0,1.0,[],[],"(0.0, 0.0)","(1.3879952049757946e-16, -3.603279793656867e-18)",-0.0012977244609094253,0.0,-0.0002732599307338111
1661951726:638486095,-0.025954489218188506,-0.0015585440678287828,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00026081960691935757
1661951726:841495725,-0.025954489218188506,-0.001559921704193014,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00026219724328358857
1661951727:140802638,-0.025954489218188506,-0.0015332498618587983,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00023552540094937295
1661951727:344724879,-0.025954489218188503,-0.0015321207452824812,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878694456994207e-16, -3.602953318566896e-18)",-0.0012977244609094253,0.0,-0.00023439628437305592
1661951727:543221208,-0.025954489218188506,-0.0015615714329042553,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00026384697199483004
1661951727:751246202,-0.025954489218188506,-0.0015379485251196734,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.000240224064210248
1661951727:941759830,-0.025954489218188506,-0.001545825473373171,30.0,1.0,[],[],"(0.0, 0.0)","(1.387892610169563e-16, -3.6030134542697406e-18)",-0.0012977244609094253,0.0,-0.0002481010124637456
1661951728:141745046,-0.025954489218188506,-0.0015487755353403338,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002510510744309084
1661951728:356499749,-0.025954489218188506,-0.0015456291392997336,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002479046783903083
1661951728:552367200,-0.025954489218188506,-0.0015518470108552792,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.000254122549945854
1661951728:752497089,-0.025954489218188506,-0.0015507481022119175,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002530236413024923
1661951728:982162177,-0.025954489218188506,-0.0015443595254127612,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002466350645033359
1661951729:151105580,-0.025954489218188506,-0.0015479860030307316,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00025026154212130634
1661951729:354195693,-0.025954489218188506,-0.0015547531182879626,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002570286573785374
