Time stamp,Error Wheel,Output wheel,Error Velocity / Brake,Output velocity,Center Point - Lane x,Center Point - Lane Y,GPS,Ego Velocity,P,I,D
1661951454:443445006,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(0.0, 0.0)",-0.0,0.0,-0.0
1661951454:543468394,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(1.387968727444719e-16, -3.603211057142239e-18)",-0.0,0.0,-0.0
1661951454:643685978,-0.02595448921818851,-0.0014581371416531653,30.0,1.0,[],[],"(0.0, 0.0)","(1.3879885854983203e-16, -3.603262609282352e-18)",-0.0012977244609094255,0.0,-0.00016041268074373988
1661951454:743633829,-0.025954489218188503,-0.0015195532124788397,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878694456994207e-16, -3.602953318566896e-18)",-0.0012977244609094253,0.0,-0.0002218287515694144
1661951454:842282383,-0.02595448921818851,-0.0015347364266703888,30.0,1.0,[],[],"(0.0, 0.0)","(1.38792570361117e-16, -3.603099365898986e-18)",-0.0012977244609094255,0.0,-0.00023701196576096314
1661951454:942353553,-0.025954489218188506,-0.0015659749668518724,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.000268250505942447
1661951455:152317802,-0.025954489218188506,-0.0015549854532332717,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00025726099232384645
1661951455:244160452,-0.025954489218188506,-0.0015587826839406674,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002610582230312421
1661951455:542834598,-0.025954489218188506,-0.001565558516421377,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002678340555119515
1661951455:743012590,-0.025954489218188503,-0.0015585137638706593,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878694456994207e-16, -3.602953318566896e-18)",-0.0012977244609094253,0.0,-0.00026078930296123394
1661951455:942482713,-0.02595448921818851,-0.0015594703176906378,30.0,1.0,[],[],"(0.0, 0.0)","(1.3879554890579933e-16, -3.603176689868334e-18)",-0.0012977244609094255,0.0,-0.0002617458567812123
1661951456:49183729,-0.025954489218188506,-0.0015616805105427003,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.000263956049633275
1661951456:342508593,-0.025954489218188506,-0.0015578500969897632,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002601256360803379
1661951456:439215143,-0.025954489218188506,-0.0015657078541338487,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00026798339322442336
1661951456:641608156,-0.025954489218188503,-0.0015570853278180064,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878694456994207e-16, -3.602953318566896e-18)",-0.0012977244609094253,0.0,-0.0002593608669085811
1661951456:841678407,-0.025954489218188506,-0.001558158141243122,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002604336803336968
1661951457:42538907,-0.025954489218188506,-0.001558716966245756,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00026099250533633076
1661951457:241803411,-0.025954489218188506,-0.0015499496402024203,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002522251792929951
1661951457:445642659,-0.025954489218188506,-0.0015614209195853475,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00026369645867592217
1661951457:648913826,-0.025954489218188503,-0.001561516768078967,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878694456994207e-16, -3.602953318566896e-18)",-0.0012977244609094253,0.0,-0.00026379230716954154
