Time stamp,Error Wheel,Output wheel,Error Velocity / Brake,Output velocity,Center Point - Lane x,Center Point - Lane Y,GPS,Ego Velocity,P,I,D
1661939092:706670766,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(0.0, 0.0)",-0.0,0.0,-0.0
1661939092:817469999,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(-0.014839983481669037, -0.0026433187902522265)",-0.0,0.0,-0.0
1661939092:925466703,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(0.013340422964216631, 0.013574045392269937)",-0.0,0.0,-0.0
1661939093:5215985,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(-0.0035074089522095626, 0.006601567602784788)",-0.0,0.0,-0.0
1661939093:107144578,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(-0.003829753941644583, -0.002769401358684854)",-0.0,0.0,-0.0
1661939093:230375672,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(0.0015238994265569876, -0.003438657362986314)",-0.0,0.0,-0.0
1661939093:407231493,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(0.0054655578728365, 0.010514805247950678)",-0.0,0.0,-0.0
1661939093:609226619,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(-0.00929573648904219, -0.004799725815682869)",-0.0,0.0,-0.0
1661939093:807960590,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(-0.010560545141411295, -0.009467826231895923)",-0.0,0.0,-0.0
1661939094:106519751,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(-0.005548311368442979, -0.011273700576145289)",-0.0,0.0,-0.0
1661939094:305976639,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(-0.0073887823739822505, 0.0073480850341025895)",-0.0,0.0,-0.0
