Time stamp,Error Wheel,Output wheel,Error Velocity / Brake,Output velocity,Center Point - Lane x,Center Point - Lane Y,GPS,Ego Velocity,P,I,D
1661949724:944758841,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(0.0, 0.0)",-0.0,0.0,-0.0
1661949725:163548683,-0.02595448921818851,-0.0014860329059881792,30.0,1.0,[],[],"(0.0, 0.0)","(9.25254386248705e-17, -2.4019898786469415e-18)",-0.0012977244609094255,0.0,-0.00018830844507875362
1661949725:249311877,-0.02595448921818851,-0.0015226557701949455,30.0,1.0,[],[],"(0.0, 0.0)","(9.252485032413994e-17, -2.4019746061724585e-18)",-0.0012977244609094255,0.0,-0.0002249313092855201
1661949725:342557114,-0.02595448921818851,-0.0015085375204022763,30.0,1.0,[],[],"(0.0, 0.0)","(9.252485032413994e-17, -2.4019746061724585e-18)",-0.0012977244609094255,0.0,-0.00021081305949285068
1661949725:441328785,-0.025954489218188503,-0.00155552279455647,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878694456994207e-16, -3.602953318566896e-18)",-0.0012977244609094253,0.0,-0.0002577983336470448
1661949725:645771713,-0.025954489218188506,-0.0015593372793509738,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00026161281844154846
1661949725:849787465,-0.025954489218188506,-0.0015570204618093188,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00025929600089989334
1661949726:49179588,-0.025954489218188506,-0.0015383113981417178,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00024058693723229247
1661949726:255156463,-0.025954489218188506,-0.0015563987803590166,30.0,1.0,[],[],"(0.0, 0.0)","(1.3879985147382085e-16, -3.603288385905591e-18)",-0.0012977244609094253,0.0,-0.00025867431944959137
1661949726:449623276,-0.025954489218188503,-0.0015431744964116505,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878694456994207e-16, -3.602953318566896e-18)",-0.0012977244609094253,0.0,-0.0002454500355022252
1661949726:645860463,-0.025954489218188506,-0.001559167953512548,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00026144349260312266
1661949726:863473129,-0.025954489218188506,-0.0015432118578581238,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00024548739694869854
1661949727:74041785,-0.025954489218188506,-0.0015209480657663386,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878893009122003e-16, -3.603004863332146e-18)",-0.0012977244609094253,0.0,-0.00022322360485691335
1661949727:248721534,-0.025954489218188506,-0.0015522236682563202,30.0,1.0,[],[],"(0.0, 0.0)","(1.3879124660451466e-16, -3.60306500075565e-18)",-0.0012977244609094253,0.0,-0.00025449920734689496
1661949727:448694606,-0.025954489218188506,-0.001546616774598157,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002488923136887319
1661949727:644961603,-0.025954489218188506,-0.0015554660302766904,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002577415693672651
1661949727:841805727,-0.025954489218188506,-0.001559864880137062,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878793732347976e-16, -3.60297909076517e-18)",-0.0012977244609094253,0.0,-0.00026214041922763677
1661949728:46668234,-0.025954489218188506,-0.0015625428602054348,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00026481839929600934
1661949728:340705309,-0.025954489218188506,-0.001539398040226403,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00024167357931697756
1661949728:444491551,-0.025954489218188506,-0.0015535655380965274,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002558410771871021
1661949728:740674568,-0.025954489218188506,-0.0015532409649848472,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002555165040754218
1661949728:940260986,-0.025954489218188506,-0.00154223315810489,30.0,1.0,[],[],"(0.0, 0.0)","(1.387899228731632e-16, -3.603030636267834e-18)",-0.0012977244609094253,0.0,-0.0002445086971954646
1661949729:147313336,-0.025954489218188506,-0.001552949522589344,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002552250616799188
1661949729:341235733,-0.025954489218188506,-0.0015230648030894578,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002253403421800324
1661949729:538319709,-0.025954489218188506,-0.0015604792522192525,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002627547913098272
1661949729:740467030,-0.025954489218188506,-0.0015592759951516813,30.0,1.0,[],[],"(0.0, 0.0)","(1.38805147308363e-16, -3.603425867458321e-18)",-0.0012977244609094253,0.0,-0.00026155153424225585
1661949729:940692667,-0.025954489218188506,-0.0015513171880559046,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878893009122003e-16, -3.603004863332146e-18)",-0.0012977244609094253,0.0,-0.00025359272714647933
1661949730:140841969,-0.025954489218188506,-0.0015252905507137924,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00022756608980436716
1661949730:439779216,-0.025954489218188503,-0.0015259331421200247,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878694456994207e-16, -3.602953318566896e-18)",-0.0012977244609094253,0.0,-0.00022820868121059928
1661949730:646679538,-0.025954489218188506,-0.0015380644085981232,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002403399476886978
1661949730:847231968,-0.025954489218188506,-0.0015483172547553993,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00025059279384597393
1661949731:51942344,-0.025954489218188506,-0.0015436738638241558,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002459494029147306
1661949731:250665230,-0.025954489218188506,-0.001536094855490863,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002383703945814377
1661949731:463163589,-0.025954489218188506,-0.0015520506475376955,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00025432618662827027
1661949731:647881479,-0.025954489218188503,-0.0015646911773078973,30.0,1.0,[],[],"(0.0, 0.0)","(1.387876064040558e-16, -3.602970499991445e-18)",-0.0012977244609094253,0.0,-0.00026696671639847195
1661949731:841105799,-0.025954489218188506,-0.0015334066586823185,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002356821977728932
1661949732:41518794,-0.02595448921818851,-0.0015451159053401701,30.0,1.0,[],[],"(0.0, 0.0)","(1.38792570361117e-16, -3.603099365898986e-18)",-0.0012977244609094255,0.0,-0.00024739144443074466
1661949732:342810450,-0.025954489218188506,-0.001539243621181836,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00024151916027241076
1661949732:543247665,-0.025954489218188506,-0.0015342107368519725,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002364862759425472
1661949732:746144483,-0.025954489218188503,-0.0015412257329731496,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878694456994207e-16, -3.602953318566896e-18)",-0.0012977244609094253,0.0,-0.00024350127206372425
1661949732:943706012,-0.025954489218188506,-0.0015475764651366377,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00024985200422721244
1661949733:145505469,-0.025954489218188506,-0.001559322191345181,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002615977304357557
1661949733:351440567,-0.025954489218188506,-0.0015465106919699447,30.0,1.0,[],[],"(0.0, 0.0)","(1.3879819660839835e-16, -3.6032454250717436e-18)",-0.0012977244609094253,0.0,-0.0002487862310605195
