Time stamp,Error Wheel,Output wheel,Error Velocity / Brake,Output velocity,Center Point - Lane x,Center Point - Lane Y,GPS,Ego Velocity,P,I,D
1661955947:65706462,-0.0,0.0,30.0,1.0,"[6.0, 7.0, 8.000000238418579, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 15.999999523162842, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 22.0, 23.0, 24.0]","[0.3030846118927002, 0.4334965944290161, 0.5356205105781555, 0.6089145541191101, 0.6528370380401611, 0.666846752166748, 0.6504020690917969, 0.6029610633850098, 0.5239825248718262, 0.41292500495910645, 0.26924657821655273, 0.09240579605102539, -0.11813879013061523, -0.3629288673400879, -0.6425058841705322, -0.957411527633667, -1.308187186717987, -1.308188259601593, -1.6953757405281067, -2.119516372680664]","(0.0, 0.0)","(0.0, 0.0)",-0.0,0.0,-0.0
1661955947:162989980,-0.025954489218188506,-0.0014742928252762398,30.0,1.0,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 22.0, 23.0, 24.0, 25.0]","[0.3219435214996338, 0.43628090620040894, 0.5127698183059692, 0.5535115003585815, 0.560606837272644, 0.5361571311950684, 0.48226332664489746, 0.40102654695510864, 0.29454803466796875, 0.16492867469787598, 0.014269351959228516, -0.15532827377319336, -0.3417634963989258, -0.5429351329803467, -0.7567422389984131, -0.9810833930969238, -1.213857889175415, -1.2138583660125732, -1.4529648423194885, -1.6963022351264954, -1.9417694807052612]","(0.0, 0.0)","(1.3878826824448176e-16, -3.6029876815798606e-18)",-0.0012977244609094253,0.0,-0.00017656836436681457
1661955947:263846535,-0.025954489218188503,-0.0015006456296726167,30.0,1.0,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.000000476837158, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0]","[0.33076953887939453, 0.4426565170288086, 0.513707160949707, 0.546761155128479, 0.5446580648422241, 0.5102370977401733, 0.4463379383087158, 0.35580015182495117, 0.24146294593811035, 0.10616612434387207, -0.047250986099243164, -0.21594882011413574, -0.39708805084228516, -0.5878291130065918, -0.785332202911377, -0.9867583513259888, -1.189267873764038]","(0.0, 0.0)","(1.387876064040558e-16, -3.602970499991445e-18)",-0.0012977244609094253,0.0,-0.00020292116876319141
1661955947:466270581,-0.025954489218188506,-0.0014862296937522587,30.0,1.0,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0]","[0.3334488868713379, 0.44342732429504395, 0.5133825540542603, 0.5460200905799866, 0.5440459251403809, 0.5101653337478638, 0.4470842480659485, 0.35750842094421387, 0.24414348602294922, 0.1096951961517334, -0.04313087463378906, -0.21162891387939453, -0.3930933475494385, -0.5848183631896973, -0.7840983867645264, -0.9882276058197021, -1.1945003867149353]","(0.0, 0.0)","(1.3878793732347976e-16, -3.60297909076517e-18)",-0.0012977244609094253,0.0,-0.00018850523284283342
1661955947:663725577,-0.025954489218188506,-0.0015181103004434833,30.0,1.0,"[6.0, 7.0, 7.999999761581421, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0]","[0.26297640800476074, 0.3788168430328369, 0.5087985992431641, 0.6411936283111572, 0.7642745971679688, 0.8663136959075928, 0.9355830550193787, 0.9603550434112549, 0.9289021492004395, 0.8294966220855713, 0.6504106521606445, 0.3799164295196533, 0.00628662109375, -0.4822068214416504, -1.0972914695739746, -1.8506950736045837, -2.754145085811615]","(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00022038583953405802
1661955947:879062272,-0.025954489218188503,-0.0015092145192518586,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878694456994207e-16, -3.602953318566896e-18)",-0.0012977244609094253,0.0,-0.00021149005834243334
1661955948:162909646,-0.025954489218188506,-0.0014892082404286359,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00019148377951921052
1661955948:464664306,-0.025954489218188506,-0.0015018441639126062,30.0,1.0,"[6.0, 7.0, 7.999999761581421, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.000000476837158, 17.0, 18.0, 19.0, 20.0, 21.0, 21.0, 22.0]","[0.39968937635421753, 0.34356069564819336, 0.3879578113555908, 0.5062870979309082, 0.6719551086425781, 0.8583681583404541, 1.038932979106903, 1.1870560050010681, 1.2761435508728027, 1.2796024680137634, 1.1708389520645142, 0.9232594966888428, 0.5102708339691162, -0.09472084045410156, -0.9183086156845093, -1.9870863556861877, -1.987088680267334, -3.327650308609009]","(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.0002041197030031809
1661955948:662621576,-0.025954489218188506,-0.0015183096931150643,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00022058523220563905
1661955948:863319352,-0.02595448921818851,-0.0015207071033003215,30.0,1.0,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.000000476837158, 17.0, 18.0, 19.0, 20.0, 21.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0]","[0.3331924080848694, 0.43943196535110474, 0.5189125537872314, 0.5723361968994141, 0.6004045009613037, 0.6038196086883545, 0.5832834243774414, 0.5394978523254395, 0.47316455841064453, 0.38498592376708984, 0.2756631374359131, 0.14589881896972656, -0.0036056041717529297, -0.1721479892730713, -0.3590266704559326, -0.5635392665863037, -0.5635383129119873, -0.7849833965301514, -1.0226590633392334, -1.2758631706237793, -1.5438938736915588, -1.8260495066642761, -2.1216278076171875]","(0.0, 0.0)","(1.3878529001227304e-16, -3.6029103657224284e-18)",-0.0012977244609094255,0.0,-0.0002229826423908959
