Time stamp,Error Wheel,Output wheel,Error Velocity / Brake,Output velocity,Center Point - Lane x,Center Point - Lane Y,GPS,Ego Velocity,P,I,D
1661956262:297965138,-0.0,0.0,30.0,1.0,[],[],"(0.0, 0.0)","(0.0, 0.0)",-0.0,0.0,-0.0
1661956262:398653467,-0.02595448921818851,-0.0014696014134863004,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878529001227304e-16, -3.6029103657224284e-18)",-0.0012977244609094255,0.0,-0.0001718769525768749
1661956262:499013329,-0.025954489218188503,-0.0014612673532536657,30.0,1.0,[],[],"(0.0, 0.0)","(1.387895919442707e-16, -3.603022045248303e-18)",-0.0012977244609094253,0.0,-0.00016354289234424047
1661956262:608684810,-0.02595448921818851,-0.0015062770644798545,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878529001227304e-16, -3.6029103657224284e-18)",-0.0012977244609094255,0.0,-0.00020855260357042886
1661956262:804864227,-0.025954489218188503,-0.0015219009873503214,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878694456994207e-16, -3.602953318566896e-18)",-0.0012977244609094253,0.0,-0.00022417652644089611
1661956263:505929,-0.02595448921818851,-0.0014910474017593121,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878562092065085e-16, -3.6029189562093916e-18)",-0.0012977244609094255,0.0,-0.00019332294084988656
1661956263:410708928,-0.025954489218188506,-0.0014840472021281196,30.0,1.0,[],[],"(0.0, 0.0)","(1.387849591054732e-16, -3.60290177527643e-18)",-0.0012977244609094253,0.0,-0.00018632274121869427
1661956264:6481806,-0.02595448921818851,-0.0014953013587230594,30.0,1.0,[],[],"(0.0, 0.0)","(9.252396788707109e-17, -2.4019516978248796e-18)",-0.0012977244609094255,0.0,-0.00019757689781363394
1661956264:306139998,-0.025954489218188503,-0.0014021502543435974,30.0,1.0,"[5.0, 6.0, 7.0, 7.999999761581421, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0]","[-1.31224524974823, -1.4790282845497131, -1.6358622908592224, -1.7843365669250488, -1.9260408282279968, -2.0625648498535156, -2.195498049259186, -2.326429843902588, -2.4569498896598816, -2.5886478424072266, -2.7231133580207825, -2.8619353771209717, -3.0067043900489807, -3.1590091586112976, -3.320439636707306, -3.4925854206085205, -3.6770358085632324, -3.875380754470825, -4.08920955657959, -4.3201117515563965, -4.569676876068115]","(0.0, 0.0)","(1.3878859916706185e-16, -3.602996272435519e-18)",-0.0012977244609094253,0.0,-0.00010442579343417203
1661956264:506423212,-0.025954489218188506,-0.0014642353934534043,30.0,1.0,"[5.0, 6.0, 7.0, 8.000000238418579, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 15.999999523162842, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0]","[-1.3573231101036072, -1.4933115243911743, -1.6245564222335815, -1.7520225644111633, -1.876675009727478, -1.9994784593582153, -2.1213977336883545, -2.2433981895446777, -2.3664441108703613, -2.4915006160736084, -2.6195327043533325, -2.7515052556991577, -2.888382613658905, -3.0311304926872253, -3.180713474750519, -3.3380959033966064, -3.50424325466156, -3.680120587348938, -3.866692304611206, -4.064923167228699, -4.275778770446777, -4.27577817440033, -4.5002230405807495, -4.739221572875977, -4.993739008903503, -5.264740943908691, -5.553191184997559, -5.860054969787598, -6.1862969398498535, -6.5328826904296875, -6.9007768630981445, -7.2909440994262695, -7.704349040985107, -8.14195728302002, -8.604732513427734, -9.09364128112793, -9.609647750854492, -10.153716087341309, -10.726811408996582, -11.329899787902832, -11.963945388793945, -12.629912376403809, -13.328765869140625, -14.061471939086914]","(0.0, 0.0)","(1.387899228731632e-16, -3.603030636267834e-18)",-0.0012977244609094253,0.0,-0.00016651093254397894
1661956264:803357786,-0.025954489218188503,-0.0015277044291059077,30.0,1.0,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0]","[-1.3941827416419983, -1.4849884510040283, -1.5726026892662048, -1.657433807849884, -1.7398905754089355, -1.82038152217865, -1.8993154764175415, -1.9771010279655457, -2.0541465282440186, -2.1308610439300537, -2.2076528072357178, -2.284930944442749, -2.3631036281585693, -2.4425793886184692, -2.523767590522766, -2.607076108455658, -2.6929136514663696, -2.7816896438598633, -2.873811721801758, -2.9696890115737915, -3.0697303414344788, -3.174343764781952, -3.2839383482933044]","(0.0, 0.0)","(1.3878859916706185e-16, -3.602996272435519e-18)",-0.0012977244609094253,0.0,-0.00022997996819648235
