Time stamp,Error Wheel,Output wheel,Error Velocity / Brake,Output velocity,Center Point - Lane x,Center Point - Lane Y,GPS,Ego Velocity,P,I,D
1661940197:755736970,0.0,0.0,0.0,0.0,[],[],"(0.0, 0.0)","(0.0, 0.0)",0.0,0.0,0.0
1661940197:855925469,3.1380764798463257,0.1738445506206775,6.217612133454164,1.0,[],[],"(0.0, 0.0)","(-23.782240850185165, 0.08362283546154853)",0.15690382399231628,0.0,0.01694072662836122
1661940197:956467393,3.122565365136791,0.18318368967737894,6.20766161613469,1.0,[],[],"(0.0, 0.0)","(-23.788031651998008, 0.452676369928427)",0.15612826825683956,0.0,0.027055421420539377
1661940198:60390732,3.136482396017317,0.19632703825095563,6.145226080426571,1.0,[],[],"(0.0, 0.0)","(-23.854462439731915, 0.12190350848099984)",0.15682411980086586,0.0,0.03950291845008976
1661940198:156067912,3.128700586754471,0.19891775047100854,6.118887290803464,1.0,[],[],"(0.0, 0.0)","(-23.87912815189044, 0.30786837275310025)",0.15643502933772357,0.0,0.04248272113328496
1661940198:255396850,3.125619263624196,0.19301121267590476,6.179641478305463,1.0,[],[],"(0.0, 0.0)","(-23.817319713752465, 0.3804756956283134)",0.15628096318120982,0.0,0.03673024949469496
1661940198:359079802,3.134133114514264,0.19894583063554958,6.049049390182706,1.0,[],[],"(0.0, 0.0)","(-23.950284240898533, 0.17866139503192663)",0.1567066557257132,0.0,0.04223917490983637
1661940198:459301456,3.134011955302417,0.19908044268992925,6.036003351818927,1.0,[],[],"(0.0, 0.0)","(-23.963308082142344, 0.18166208840909376)",0.15670059776512085,0.0,0.0423798449248084
1661940198:556311107,3.138215709046317,0.19635440209658006,5.806494299668543,1.0,[],[],"(0.0, 0.0)","(-24.19336775206341, 0.08169997178102209)",0.15691078545231585,0.0,0.039443616644264226
1661940198:655946157,3.1321330704243464,0.19967754844096008,5.952077805761693,1.0,[],[],"(0.0, 0.0)","(-24.046846253569687, 0.22747992729239405)",0.15660665352121733,0.0,0.04307089491974276
1661940198:759103127,3.12893106821751,0.19606039110060394,5.813552813694866,1.0,[],[],"(0.0, 0.0)","(-24.184508478066412, 0.3062305834846046)",0.15644655341087552,0.0,0.039613837689728426
1661940198:855421779,3.1371670467393,0.19952101681878986,5.781323259520342,1.0,[],[],"(0.0, 0.0)","(-24.21843956741394, 0.10718199181407129)",0.156858352336965,0.0,0.04266266448182486
1661940198:956140430,-3.1409583112950874,-0.19999656779765485,5.629131689655253,1.0,[],[],"(0.0, 0.0)","(-24.370863407046272, -0.015459471491165213)",-0.1570479155647544,0.0,-0.042948652232900446
1661940199:55706872,3.12873555752995,0.19821252129161882,5.802409625858406,1.0,[],[],"(0.0, 0.0)","(-24.195590411332617, 0.3111021725718673)",0.1564367778764975,0.0,0.041775743415121296
1661940199:258890670,3.130539600565221,0.19663846600974288,5.695455220014168,1.0,[],[],"(0.0, 0.0)","(-24.303060152211685, 0.26863395227916137)",0.15652698002826104,0.0,0.04011148598148184
1661940199:453592975,3.1350499983351625,0.1933858357989049,5.297523023502233,1.0,[],[],"(0.0, 0.0)","(-24.701948267097038, 0.16161863773659)",0.15675249991675813,0.0,0.036633335882146754
1661940199:554973519,-3.1404978465951423,-0.19447384980504878,5.27665253452879,1.0,[],[],"(0.0, 0.0)","(-24.723332648741437, -0.027067288329230874)",-0.15702489232975714,0.0,-0.03744895747529164
1661940199:756166460,3.129776428353637,0.19250861533047905,5.373673017935353,1.0,[],[],"(0.0, 0.0)","(-24.624607799039847, 0.2909834549098419)",0.15648882141768186,0.0,0.0360197939127972
1661940199:957912004,3.1396482747551033,0.19446935975154003,5.130066843310836,1.0,[],[],"(0.0, 0.0)","(-24.86988614495676, 0.04835654118047438)",0.15698241373775518,0.0,0.03748694601378486
1661940200:56513848,3.1347185270800835,0.19921578554135358,5.081301455581343,1.0,[],[],"(0.0, 0.0)","(-24.91810979743999, 0.17129293720912006)",0.15673592635400418,0.0,0.042479859187349395
1661940200:255283191,3.1363621497663154,0.1981260214243968,4.9033408713622215,1.0,[],[],"(0.0, 0.0)","(-25.096315830083906, 0.13126757298684538)",0.1568181074883158,0.0,0.04130791393608101
1661940200:355008936,3.131480063780371,0.18963543051698092,4.964156681646063,1.0,[],[],"(0.0, 0.0)","(-25.034563190606097, 0.2531728988611589)",0.15657400318901857,0.0,0.03306142732796236
1661940200:554441401,3.1343630725378344,0.19840910924850813,4.662261237650291,1.0,[],[],"(0.0, 0.0)","(-25.337076603437165, 0.18317964034247974)",0.15671815362689173,0.0,0.04169095562161639
1661940200:762645080,3.134284590823321,0.19677213216558728,4.697829790770317,1.0,[],[],"(0.0, 0.0)","(-25.301494545849106, 0.18490820208395184)",0.15671422954116607,0.0,0.040057902624421216
1661940200:855326629,3.139013312826154,0.19823192362781583,4.677485987580106,1.0,[],[],"(0.0, 0.0)","(-25.322429777139245, 0.06531532020620973)",0.15695066564130772,0.0,0.04128125798650813
