Time stamp,Error Wheel,Output wheel,Error Velocity / Brake,Output velocity,Center Point - Lane x,Center Point - Lane Y,GPS,Ego Velocity,P,I,D
1661948823:968517576,0.0,0.0,0.0,0.0,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]","[2.3837571144104004, 2.4518548250198364, 2.4857916831970215, 2.4880565404891968, 2.461138606071472, 2.4075273275375366, 2.329712390899658, 2.2301825284957886, 2.1114275455474854, 1.9759365916252136, 1.8261986374855042, 1.6647034287452698, 1.4939403533935547, 1.3163983821868896, 1.1345669627189636, 0.9509355425834656, 0.7679933309555054, 0.588229775428772, 0.41413384675979614, 0.24819529056549072, 0.09290313720703125, -0.049253225326538086, -0.17578434944152832, -0.2842010259628296]","(0.0, 0.0)","(0.0, 0.0)",0.0,0.0,0.0
1661948824:23248006,-0.0,0.0,30.0,1.0,"[6.0, 7.0, 7.999999761581421, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]","[2.3835830688476562, 2.4566752910614014, 2.493295192718506, 2.496269106864929, 2.46842360496521, 2.412585496902466, 2.331581234931946, 2.2282376289367676, 2.1053810119628906, 1.965838074684143, 1.8124352097511292, 1.647999346256256, 1.4753570556640625, 1.2973346710205078, 1.1167591214179993, 0.9364565908908844, 0.7592540979385376, 0.5879780054092407, 0.42545485496520996, 0.27451157569885254, 0.13797438144683838, 0.018669962882995605, -0.0805748701095581, -0.15693378448486328]","(0.0, 0.0)","(0.0, 0.0)",-0.0,0.0,-0.0
1661948824:240868772,0.06241880999595735,0.00359930120318944,29.999999999999996,1.0,"[6.0, 7.0, 8.000000238418579, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 15.999999523162842, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]","[2.3609343767166138, 2.449041247367859, 2.4969844818115234, 2.5080572366714478, 2.485552668571472, 2.432764768600464, 2.3529858589172363, 2.249509572982788, 2.125629425048828, 1.9846381545066833, 1.8298293352127075, 1.6644958853721619, 1.4919313788414001, 1.3154287934303284, 1.1382816433906555, 0.9637832045555115, 0.7952264547348022, 0.6359046697616577, 0.48911118507385254, 0.3581393361091614, 0.24628210067749023, 0.15683293342590332, 0.09308516979217529, 0.05833172798156738]","(0.0, 0.0)","(4.441192815558717e-15, 2.7757455097241983e-16)",0.0031209404997978676,0.0,0.0004783607033915725
1661948824:463783643,0.06241880999595735,0.0036688660064418135,29.999999999999996,1.0,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]","[2.3898814916610718, 2.453365921974182, 2.4834123849868774, 2.482590913772583, 2.4534724950790405, 2.3986287117004395, 2.3206294775009155, 2.2220460176467896, 2.1054491996765137, 1.9734098315238953, 1.828498661518097, 1.6732867360115051, 1.5103447437286377, 1.3422435522079468, 1.1715539693832397, 1.0008468627929688, 0.8326930999755859, 0.6696634888648987, 0.5143289566040039, 0.36926037073135376, 0.2370283603668213, 0.12020385265350342, 0.02135777473449707, -0.056939005851745605]","(0.0, 0.0)","(4.441987158544422e-15, 2.776241974090264e-16)",0.0031209404997978676,0.0,0.000547925506643946
1661948824:674576573,0.06241880999595735,0.003694511169739008,29.999999999999996,1.0,"[6.0, 7.0, 7.999999761581421, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]","[2.399283528327942, 2.4452435970306396, 2.4621087312698364, 2.45202100276947, 2.4171226024627686, 2.3595550060272217, 2.2814605236053467, 2.184981107711792, 2.0722588300704956, 1.9454355239868164, 1.8066532611846924, 1.6580539345741272, 1.5017796754837036, 1.33997243642807, 1.174774169921875, 1.0083268880844116, 0.8427725434303284, 0.680253267288208, 0.5229108333587646, 0.37288737297058105, 0.23232483863830566, 0.10336518287658691, -0.011849522590637207, -0.11117732524871826]","(0.0, 0.0)","(4.441192815558717e-15, 2.7757455097241983e-16)",0.0031209404997978676,0.0,0.0005735706699411406
1661948824:840594554,0.06241880999595735,0.003766162798960381,29.999999999999996,1.0,"[6.0, 7.0, 8.000000238418579, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]","[2.4115514755249023, 2.4465473890304565, 2.453749895095825, 2.43522846698761, 2.3930529356002808, 2.3292932510375977, 2.2460190057754517, 2.145300269126892, 2.0292060375213623, 1.899807095527649, 1.7591724395751953, 1.6093722581863403, 1.452476143836975, 1.2905539274215698, 1.1256754398345947, 0.9599103033542633, 0.7953285574913025, 0.6339996457099915, 0.4779934883117676, 0.32937997579574585, 0.1902286410331726, 0.06260943412780762, -0.05140793323516846, -0.14975368976593018]","(0.0, 0.0)","(4.441002215514179e-15, 2.775626384696362e-16)",0.0031209404997978676,0.0,0.0006452222991625133
1661948825:56609023,0.06241880999595735,0.0037433210965224107,29.999999999999996,1.0,"[6.0, 7.0, 7.999999761581421, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 15.999999523162842, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]","[2.3914912939071655, 2.4263875484466553, 2.430874466896057, 2.407397508621216, 2.3584033250808716, 2.2863376140594482, 2.1936466693878174, 2.082776665687561, 1.9561734795570374, 1.8162832856178284, 1.6655521988868713, 1.5064262747764587, 1.3413515090942383, 1.1727740168571472, 1.0031400918960571, 0.8348954021930695, 0.6704864501953125, 0.5123589038848877, 0.3629591464996338, 0.2247331738471985, 0.10012716054916382, -0.008413076400756836, -0.09844118356704712, -0.16751134395599365]","(0.0, 0.0)","(4.441256352542602e-15, 2.775785220339126e-16)",0.0031209404997978676,0.0,0.0006223805967245429
1661948825:270591922,0.06241880999595735,0.00376876923683629,29.999999999999996,1.0,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]","[2.444629192352295, 2.464794635772705, 2.451688051223755, 2.4084616899490356, 2.338268518447876, 2.2442609071731567, 2.1295920610427856, 1.9974133968353271, 1.8508785367012024, 1.693139672279358, 1.527349591255188, 1.3566606640815735, 1.1842257976531982, 1.013197422027588, 0.8467280268669128, 0.6879704296588898, 0.5400771498680115, 0.4062008261680603, 0.28949403762817383, 0.19310933351516724, 0.12019944190979004, 0.07391691207885742, 0.05741429328918457, 0.07384419441223145]","(0.0, 0.0)","(4.441235173345979e-15, 2.775771983341237e-16)",0.0031209404997978676,0.0,0.0006478287370384224
1661948825:433526476,0.06241880999595735,0.003771764682496773,29.999999999999996,1.0,"[6.0, 7.0, 7.999999761581421, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 15.999999523162842, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]","[2.3443175554275513, 2.423639178276062, 2.451556444168091, 2.4331490993499756, 2.3734976053237915, 2.277681827545166, 2.1507822275161743, 1.9978789687156677, 1.8240520358085632, 1.6343817114830017, 1.4339482188224792, 1.227831482887268, 1.0211120247840881, 0.8188697099685669, 0.6261848211288452, 0.4481375217437744, 0.2898080348968506, 0.15627634525299072, 0.05262279510498047, -0.016072511672973633, -0.04472947120666504, -0.028267741203308105, 0.03839266300201416, 0.16033196449279785]","(0.0, 0.0)","(4.441203404929786e-15, 2.775752128081116e-16)",0.0031209404997978676,0.0,0.0006508241826989055
1661948825:595941845,0.06241880999595735,0.0037536652390350645,29.999999999999996,1.0,"[6.0, 7.0, 7.999999761581421, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]","[2.353309392929077, 2.4077017307281494, 2.4168745279312134, 2.3852269649505615, 2.31715726852417, 2.2170640230178833, 2.089346170425415, 1.9384022951126099, 1.7686306238174438, 1.5844303369522095, 1.3901998400688171, 1.1903377175331116, 0.9892427921295166, 0.7913136184215546, 0.6009487807750702, 0.42254698276519775, 0.26050686836242676, 0.11922705173492432, 0.003106236457824707, -0.08345687389373779, -0.136063814163208, -0.1503159999847412, -0.12181448936462402, -0.04616081714630127]","(0.0, 0.0)","(4.441298711541844e-15, 2.7758116947136523e-16)",0.0031209404997978676,0.0,0.000632724739237197
