Time stamp,Error Wheel,Output wheel,Error Velocity / Brake,Output velocity,Center Point - Lane x,Center Point - Lane Y,GPS,Ego Velocity,P,I,D
1661956147:82658312,-0.0,0.0,30.0,1.0,"[5.0, 6.0, 7.0, 7.999999761581421, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 15.999999523162842, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.3869204521179199, 0.35556209087371826, 0.32684504985809326, 0.3005399703979492, 0.2764180898666382, 0.254250168800354, 0.23380708694458008, 0.2148597240447998, 0.19717919826507568, 0.18053627014160156, 0.1647019386291504, 0.14944696426391602, 0.1345425844192505, 0.1197594404220581, 0.10486841201782227, 0.08964073657989502, 0.07384705543518066, 0.05725836753845215, 0.03964555263519287, 0.020779728889465332, 0.0004315376281738281, -0.02162790298461914, -0.04562783241271973, -0.07179725170135498]","(0.0, 0.0)","(0.0, 0.0)",-0.0,0.0,-0.0
1661956147:284412488,-0.025954489218188506,-0.0014564907130353506,30.0,1.0,"[5.0, 6.0, 7.0, 7.999999761581421, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.3842275142669678, 0.3527793884277344, 0.32405877113342285, 0.29782962799072266, 0.27385544776916504, 0.25190019607543945, 0.23172760009765625, 0.21310114860534668, 0.1957848072052002, 0.1795421838760376, 0.16413700580596924, 0.14933311939239502, 0.1348940134048462, 0.12058365345001221, 0.10616564750671387, 0.09140372276306152, 0.07606172561645508, 0.05990314483642578, 0.042691946029663086, 0.024191737174987793, 0.004166364669799805, -0.01762068271636963, -0.041405439376831055, -0.06742441654205322]","(0.0, 0.0)","(1.3882037508399055e-16, -3.603821185367377e-18)",-0.0012977244609094253,0.0,-0.0001587662521259252
1661956147:322346951,-0.025954489218188506,-0.0014467138280264203,30.0,1.0,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.36487245559692383, 0.34152817726135254, 0.31908154487609863, 0.29747116565704346, 0.276636004447937, 0.2565145492553711, 0.2370457649230957, 0.21816837787628174, 0.1998211145401001, 0.18194270133972168, 0.16447198390960693, 0.1473475694656372, 0.1305084228515625, 0.11389303207397461, 0.09744048118591309, 0.08108925819396973, 0.06477820873260498, 0.0484461784362793, 0.03203177452087402, 0.01547384262084961, -0.0012888908386230469, -0.018317580223083496, -0.03567349910736084, -0.05341804027557373]","(0.0, 0.0)","(1.3877503263518033e-16, -3.602644080943622e-18)",-0.0012977244609094253,0.0,-0.000148989367116995
1661956147:518005802,-0.025954489218188506,-0.0014820823312213368,30.0,1.0,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.334064245223999, 0.3258320093154907, 0.3151637315750122, 0.3023085594177246, 0.28751540184020996, 0.2710334062576294, 0.25311148166656494, 0.23399865627288818, 0.2139439582824707, 0.19319641590118408, 0.17200517654418945, 0.15061914920806885, 0.12928736209869385, 0.10825884342193604, 0.08778262138366699, 0.0681077241897583, 0.04948318004608154, 0.0321580171585083, 0.016381263732910156, 0.0024018287658691406, -0.009531021118164062, -0.019168376922607422, -0.026261329650878906, -0.030560612678527832]","(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00018435787031191163
1661956147:947231825,-0.025954489218188506,-0.0014833253016904298,30.0,1.0,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.31149327754974365, 0.3122144937515259, 0.30901122093200684, 0.3022427558898926, 0.29226839542388916, 0.27944743633270264, 0.2641392946243286, 0.24670302867889404, 0.22749817371368408, 0.20688390731811523, 0.18521952629089355, 0.16286444664001465, 0.14017772674560547, 0.11751902103424072, 0.09524726867675781, 0.0737220048904419, 0.05330240726470947, 0.0343477725982666, 0.017217516899108887, 0.002270817756652832, -0.010133028030395508, -0.019634604454040527, -0.025874733924865723, -0.02849400043487549]","(0.0, 0.0)","(1.387697390982761e-16, -3.602506659038304e-18)",-0.0012977244609094253,0.0,-0.00018560084078100454
1661956148:80638115,-0.025954489218188506,-0.0014874518422321103,30.0,1.0,"[5.0, 6.0, 7.0, 8.000000238418579, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.29775142669677734, 0.3026927709579468, 0.3028923273086548, 0.2987813949584961, 0.2907916307449341, 0.2793542146682739, 0.26490068435668945, 0.2478625774383545, 0.22867131233215332, 0.20775830745697021, 0.185555100440979, 0.16249299049377441, 0.13900363445281982, 0.11551821231842041, 0.0924685001373291, 0.07028567790985107, 0.049401283264160156, 0.030246853828430176, 0.01325368881225586, -0.001146554946899414, -0.012522578239440918, -0.020442962646484375, -0.024476051330566406, -0.024190664291381836]","(0.0, 0.0)","(1.3876907743455803e-16, -3.602489482037282e-18)",-0.0012977244609094253,0.0,-0.000189727381322685
1661956148:282214516,-0.02595448921818851,-0.0014879737399154495,30.0,1.0,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.29009783267974854, 0.2973299026489258, 0.2999556064605713, 0.2983487844467163, 0.2928835153579712, 0.28393399715423584, 0.27187418937683105, 0.25707828998565674, 0.23992013931274414, 0.22077405452728271, 0.2000138759613037, 0.17801380157470703, 0.15514779090881348, 0.1317899227142334, 0.1083143949508667, 0.08509504795074463, 0.06250619888305664, 0.040921688079833984, 0.020715713500976562, 0.0022622346878051758, -0.014064550399780273, -0.027890682220458984, -0.038842082023620605, -0.046544790267944336]","(0.0, 0.0)","(1.3878098834695307e-16, -3.602798693119591e-18)",-0.0012977244609094255,0.0,-0.000190249279006024
1661956148:650904893,-0.025954489218188506,-0.0015082761587316977,30.0,1.0,"[5.0, 6.0, 7.0, 8.000000238418579, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.000000476837158, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.28343844413757324, 0.29550933837890625, 0.30306458473205566, 0.30638349056243896, 0.3057452440261841, 0.3014289140701294, 0.2937138080596924, 0.282879114151001, 0.26920390129089355, 0.2529674768447876, 0.23444902896881104, 0.2139277458190918, 0.19168269634246826, 0.16799330711364746, 0.14313852787017822, 0.11739778518676758, 0.09105002880096436, 0.06437456607818604, 0.0376507043838501, 0.011157393455505371, -0.014825940132141113, -0.04002022743225098, -0.06414628028869629, -0.08692491054534912]","(0.0, 0.0)","(1.3878065746066588e-16, -3.602790103206108e-18)",-0.0012977244609094253,0.0,-0.00021055169782227236
1661956148:779427608,-0.025954489218188506,-0.0015209363943028463,30.0,1.0,"[5.0, 6.0, 7.0, 8.000000238418579, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.2966853380203247, 0.3026127815246582, 0.30406510829925537, 0.30140793323516846, 0.2950071096420288, 0.2852283716201782, 0.2724372148513794, 0.2569996118545532, 0.23928093910217285, 0.21964728832244873, 0.198464035987854, 0.17609703540802002, 0.15291202068328857, 0.12927472591400146, 0.10555064678192139, 0.08210575580596924, 0.059305667877197266, 0.037515997886657715, 0.017102479934692383, -0.0015691518783569336, -0.018133044242858887, -0.03222370147705078, -0.04347538948059082, -0.051522254943847656]","(0.0, 0.0)","(1.3878330459514325e-16, -3.6028588236608985e-18)",-0.0012977244609094253,0.0,-0.00022321193339342105
1661956149:88318153,-0.025954489218188506,-0.0015094922226443347,30.0,1.0,"[5.0, 6.0, 7.0, 7.999999761581421, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.2994495630264282, 0.30223023891448975, 0.30076122283935547, 0.29542410373687744, 0.2865999937057495, 0.27467048168182373, 0.26001667976379395, 0.2430201768875122, 0.22406208515167236, 0.20352399349212646, 0.1817871332168579, 0.1592327356338501, 0.13624238967895508, 0.1131974458694458, 0.09047901630401611, 0.06846868991851807, 0.04754769802093506, 0.02809751033782959, 0.010499358177185059, -0.004865407943725586, -0.017615318298339844, -0.027369141578674316, -0.033745408058166504, -0.03636288642883301]","(0.0, 0.0)","(1.3879025380363385e-16, -3.6030392273283345e-18)",-0.0012977244609094253,0.0,-0.0002117677617349094
1661956149:360853950,-0.025954489218188506,-0.001501770896588924,30.0,1.0,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.3019564151763916, 0.30233848094940186, 0.2991626262664795, 0.2927354574203491, 0.2833636999130249, 0.27135372161865234, 0.25701212882995605, 0.2406456470489502, 0.22256088256835938, 0.2030642032623291, 0.18246245384216309, 0.16106200218200684, 0.1391695737838745, 0.11709165573120117, 0.09513497352600098, 0.07360589504241943, 0.052811264991760254, 0.033057451248168945, 0.014651179313659668, -0.0021010637283325195, -0.016892671585083008, -0.029417037963867188, -0.03936755657196045, -0.046437740325927734]","(0.0, 0.0)","(1.3878330459514325e-16, -3.6028588236608985e-18)",-0.0012977244609094253,0.0,-0.00020404643567949852
1661956149:686297424,-0.025954489218188506,-0.0014924968551343059,30.0,1.0,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.000000476837158, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.3009735345840454, 0.30145537853240967, 0.2983822822570801, 0.2920595407485962, 0.28279221057891846, 0.270885705947876, 0.2566450834274292, 0.24037563800811768, 0.22238266468048096, 0.2029712200164795, 0.18244671821594238, 0.16111421585083008, 0.13927900791168213, 0.11724638938903809, 0.0953214168548584, 0.07380938529968262, 0.05301547050476074, 0.033245086669921875, 0.014803171157836914, -0.002004861831665039, -0.016873836517333984, -0.029498577117919922, -0.0395737886428833, -0.04679429531097412]","(0.0, 0.0)","(1.3878231190788025e-16, -3.602833053183138e-18)",-0.0012977244609094253,0.0,-0.00019477239422488062
1661956149:857882358,-0.02595448921818851,-0.0015048562620712345,30.0,1.0,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.000000476837158, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.3009735345840454, 0.30145537853240967, 0.2983822822570801, 0.2920595407485962, 0.28279221057891846, 0.270885705947876, 0.2566450834274292, 0.24037563800811768, 0.22238266468048096, 0.2029712200164795, 0.18244671821594238, 0.16111421585083008, 0.13927900791168213, 0.11724638938903809, 0.0953214168548584, 0.07380938529968262, 0.05301547050476074, 0.033245086669921875, 0.014803171157836914, -0.002004861831665039, -0.016873836517333984, -0.029498577117919922, -0.0395737886428833, -0.04679429531097412]","(0.0, 0.0)","(1.3878562092065085e-16, -3.6029189562093916e-18)",-0.0012977244609094255,0.0,-0.0002071318011618089
1661956149:999428040,-0.025954489218188506,-0.001517493424931941,30.0,1.0,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.000000476837158, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.3009735345840454, 0.30145537853240967, 0.2983822822570801, 0.2920595407485962, 0.28279221057891846, 0.270885705947876, 0.2566450834274292, 0.24037563800811768, 0.22238266468048096, 0.2029712200164795, 0.18244671821594238, 0.16111421585083008, 0.13927900791168213, 0.11724638938903809, 0.0953214168548584, 0.07380938529968262, 0.05301547050476074, 0.033245086669921875, 0.014803171157836914, -0.002004861831665039, -0.016873836517333984, -0.029498577117919922, -0.0395737886428833, -0.04679429531097412]","(0.0, 0.0)","(1.3879157754129795e-16, -3.603073591980028e-18)",-0.0012977244609094253,0.0,-0.00021976896402251556
1661956150:214522262,-0.025954489218188506,-0.0015047835736711449,30.0,1.0,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.000000476837158, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.3009735345840454, 0.30145537853240967, 0.2983822822570801, 0.2920595407485962, 0.28279221057891846, 0.270885705947876, 0.2566450834274292, 0.24037563800811768, 0.22238266468048096, 0.2029712200164795, 0.18244671821594238, 0.16111421585083008, 0.13927900791168213, 0.11724638938903809, 0.0953214168548584, 0.07380938529968262, 0.05301547050476074, 0.033245086669921875, 0.014803171157836914, -0.002004861831665039, -0.016873836517333984, -0.029498577117919922, -0.0395737886428833, -0.04679429531097412]","(0.0, 0.0)","(1.3879422509237999e-16, -3.603142323250009e-18)",-0.0012977244609094253,0.0,-0.00020705911276171958
1661956150:595100865,-0.025954489218188506,-0.0015229643278395623,30.0,1.0,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.000000476837158, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0]","[0.3009735345840454, 0.30145537853240967, 0.2983822822570801, 0.2920595407485962, 0.28279221057891846, 0.270885705947876, 0.2566450834274292, 0.24037563800811768, 0.22238266468048096, 0.2029712200164795, 0.18244671821594238, 0.16111421585083008, 0.13927900791168213, 0.11724638938903809, 0.0953214168548584, 0.07380938529968262, 0.05301547050476074, 0.033245086669921875, 0.014803171157836914, -0.002004861831665039, -0.016873836517333984, -0.029498577117919922, -0.0395737886428833, -0.04679429531097412]","(0.0, 0.0)","(1.3880547831143994e-16, -3.603434460403704e-18)",-0.0012977244609094253,0.0,-0.00022523986693013704
1661956150:877707089,-0.025954489218188506,-0.001522378651149266,30.0,1.0,[],[],"(0.0, 0.0)","(1.3877701781564019e-16, -3.602695616861125e-18)",-0.0012977244609094253,0.0,-0.00022465419023984064
1661956151:86215002,-0.025954489218188506,-0.0015301234207081647,30.0,1.0,[],[],"(0.0, 0.0)","(1.3880349231665782e-16, -3.603382903346136e-18)",-0.0012977244609094253,0.0,-0.00023239895979873946
1661956151:406463787,-0.025954489218188506,-0.0015022454829146836,30.0,1.0,[],[],"(0.0, 0.0)","(1.3877767955508154e-16, -3.602712795827948e-18)",-0.0012977244609094253,0.0,-0.00020452102200525844
1661956151:479067811,-0.025954489218188506,-0.0014981614151759527,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878462820025133e-16, -3.602893184871396e-18)",-0.0012977244609094253,0.0,-0.00020043695426652733
1661956151:563535557,-0.025954489218188506,-0.0015145700071033195,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878231190788025e-16, -3.602833053183138e-18)",-0.0012977244609094253,0.0,-0.00021684554619389414
1661956152:42415521,-0.025954489218188506,-0.0015277996963418742,30.0,1.0,[],[],"(0.0, 0.0)","(1.387803265759565e-16, -3.602781513333585e-18)",-0.0012977244609094253,0.0,-0.0002300752354324489
1661956152:239641616,-0.025954489218188506,-0.0015223960380243541,30.0,1.0,[],[],"(0.0, 0.0)","(1.3877966481127116e-16, -3.602764333711419e-18)",-0.0012977244609094253,0.0,-0.00022467157711492883
1661956152:439103096,-0.025954489218188506,-0.0014936628504099274,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878297369781102e-16, -3.6028502334606825e-18)",-0.0012977244609094253,0.0,-0.00019593838950050205
1661956152:780638725,-0.025954489218188506,-0.0015055808033628269,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878165012426096e-16, -3.602815873069441e-18)",-0.0012977244609094253,0.0,-0.0002078563424534016
1661956152:937800038,-0.025954489218188503,-0.0015255219811199465,30.0,1.0,[],[],"(0.0, 0.0)","(1.387813192348181e-16, -3.6028072830740355e-18)",-0.0012977244609094253,0.0,-0.00022779752021052116
1661956153:140385095,-0.02595448921818851,-0.0015165841293576293,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878562092065085e-16, -3.6029189562093916e-18)",-0.0012977244609094255,0.0,-0.00021885966844820365
1661956153:340306019,-0.025954489218188506,-0.0015206566448724348,30.0,1.0,[],[],"(0.0, 0.0)","(1.387720549709795e-16, -3.602566779831855e-18)",-0.0012977244609094253,0.0,-0.00022293218396300936
1661956153:682160045,-0.025954489218188506,-0.0015318077481636706,30.0,1.0,[],[],"(0.0, 0.0)","(1.3876709248126154e-16, -3.6024379520170125e-18)",-0.0012977244609094253,0.0,-0.00023408328725424532
1661956153:871069213,-0.02595448921818851,-0.00151739253628075,30.0,1.0,[],[],"(0.0, 0.0)","(1.3876940826562835e-16, -3.602498070517318e-18)",-0.0012977244609094255,0.0,-0.00021966807537132443
1661956154:139098057,-0.025954489218188503,-0.0015221702183568888,30.0,1.0,[],[],"(0.0, 0.0)","(1.3877734868457202e-16, -3.602704206324057e-18)",-0.0012977244609094253,0.0,-0.00022444575744746348
1661956154:285271050,-0.025954489218188506,-0.0015188271570246367,30.0,1.0,[],[],"(0.0, 0.0)","(1.3877867217607648e-16, -3.602738564585369e-18)",-0.0012977244609094253,0.0,-0.00022110269611521144
1661956154:486757539,-0.02595448921818851,-0.0014924141254203942,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878529001227304e-16, -3.6029103657224284e-18)",-0.0012977244609094255,0.0,-0.00019468966451096874
1661956154:757095202,-0.025954489218188506,-0.0015183376324135974,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00022061317150417204
1661956155:44144787,-0.025954489218188506,-0.00152848101130678,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878727548620991e-16, -3.6029619092586875e-18)",-0.0012977244609094253,0.0,-0.00023075655039735482
1661956155:359962364,-0.02595448921818851,-0.001511306004987537,30.0,1.0,[],[],"(0.0, 0.0)","(1.3878529001227304e-16, -3.6029103657224284e-18)",-0.0012977244609094255,0.0,-0.00021358154407811163
